round_queries,100,300,1300,4900,9900,35500,181900,910900,4663500
round_k,0,1,6,24,49,177,909,4554,23317
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,13500,28100,92300,416500,2049500
round_k,0,1,5,24,67,140,461,2082,10247
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,12700,26500,97700,489300,2502100
round_k,0,1,6,19,63,132,488,2446,12510
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4100,17700,62700,134900,525300,2500100
round_k,0,1,5,20,88,313,674,2626,12500
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,18300,38100,144300,739700,3750900
round_k,0,1,5,23,91,190,721,3698,18754
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1300,4900,21400,65500,304900,1521100,7812900
round_k,0,1,6,24,53,327,1524,7605,39064
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,10900,31500,69700,333300,1683300
round_k,0,1,4,13,54,157,348,1666,8416
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,9500,47700,240500,1213500,6225700
round_k,0,1,3,13,47,238,1202,6067,31128
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,12100,59300,264500,1308500,6718100
round_k,0,1,6,26,60,296,1322,6542,33590
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,18900,77500,326100,1469500,7373900
round_k,0,1,5,19,94,387,1630,7347,36869
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1300,4500,9900,40500,206300,1019500,5183900
round_k,0,2,6,22,49,202,1031,5097,25919
round_shots,100,100,100,100,200,100,100,100
round_queries,100,500,1700,5500,45000,129900,579700,3542500
round_k,0,2,8,27,112,649,2898,17712
round_shots,100,100,100,100,100,100,100,100
