round_queries,500,1200,1300,4100,62100
round_k,1,6,20,72,310
round_shots,400,400,200,100
round_queries,400,1200,2600,17900
round_k,1,6,25,89
round_shots,400,400,200,100,100
round_queries,400,1200,2600,5900,68900
round_k,1,6,29,91,344
round_shots,600,300,100,100,100
round_queries,600,900,1100,3700,50700
round_k,1,5,18,61,253
round_shots,400,400,200,100
round_queries,400,1200,2200,18700
round_k,1,5,19,93
round_shots,500,300,300,200,100
round_queries,500,900,2700,5400,53700
round_k,1,4,13,63,268
round_shots,100,400,100,100,100
round_queries,100,1200,1300,3900,41100
round_k,1,6,19,65,205
round_shots,700,400,100,100,100
round_queries,700,1200,1100,3700,53900
round_k,1,5,18,64,269
round_shots,400,300,200,100
round_queries,400,900,2200,18300
round_k,1,5,24,91
round_shots,200,400,200,100,100
round_queries,200,1200,2200,3900,60300
round_k,1,5,19,61,301
round_shots,500,400,200,200,100
round_queries,500,1200,2200,9400,65500
round_k,1,5,23,104,327
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,58100
round_k,1,5,19,69,290
round_shots,600,300,200,100,100
round_queries,600,900,1800,2700,35700
round_k,1,4,13,44,178
round_shots,300,400,100,100,100
round_queries,300,1200,1300,4100,51300
round_k,1,6,20,64,256
round_shots,300,400,100,100,100
round_queries,300,1200,1100,3700,53700
round_k,1,5,18,67,268
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,54700
round_k,1,5,19,62,273
round_shots,500,300,200,100
round_queries,500,900,2200,18100
round_k,1,5,24,90
round_shots,300,300,100,100,100
round_queries,300,900,1300,3900,48500
round_k,1,6,19,69,242
round_shots,300,300,200,200,100
round_queries,300,900,2200,7800,67700
round_k,1,5,19,85,338
round_shots,300,300,100,300,100
round_queries,300,900,1100,10500,60100
round_k,1,5,17,70,300
round_shots,600,300,100,300,100
round_queries,600,900,1100,9900,55700
round_k,1,5,16,66,278
round_shots,300,400,200,100
round_queries,300,1200,2600,23100
round_k,1,6,25,115
round_shots,600,300,200,100
round_queries,600,900,2200,19900
round_k,1,5,23,99
round_shots,400,300,100,100,100
round_queries,400,900,1100,3700,48700
round_k,1,5,18,67,243
round_shots,300,400,100,100,100
round_queries,300,1200,1300,3900,56700
round_k,1,6,19,70,283
round_shots,300,300,200,200,100
round_queries,300,900,2200,7800,58900
round_k,1,5,19,92,294
round_shots,300,400,100,100,100
round_queries,300,1200,1100,3500,35900
round_k,1,5,17,58,179
round_shots,300,400,200,100
round_queries,300,1200,2200,18300
round_k,1,5,24,91
round_shots,400,400,300,200,100
round_queries,400,1200,2700,5400,47300
round_k,1,4,13,54,236
round_shots,400,400,200,100,100
round_queries,400,1200,2200,4900,65100
round_k,1,5,24,76,325
round_shots,500,400,200,100,100
round_queries,500,1200,2200,3900,47700
round_k,1,5,19,63,238
round_shots,400,400,200,100
round_queries,400,1200,2600,21100
round_k,1,6,30,105
round_shots,600,300,100,100,100
round_queries,600,900,1100,3700,52500
round_k,1,5,18,66,262
round_shots,600,400,100,100,100
round_queries,600,1200,1300,3900,51100
round_k,1,6,19,62,255
round_shots,200,400,100,100,100
round_queries,200,1200,1300,3900,54700
round_k,1,6,19,63,273
round_shots,600,400,100,200,100
round_queries,600,1200,1100,7000,56900
round_k,1,5,17,68,284
round_shots,400,300,200,100,100
round_queries,400,900,2200,3900,42300
round_k,1,5,19,65,211
round_shots,600,400,200,100,100
round_queries,600,1200,2200,3700,54100
round_k,1,5,18,68,270
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4100,48300
round_k,1,5,20,64,241
round_shots,300,400,200,100,100
round_queries,300,1200,2200,4700,57500
round_k,1,5,23,84,287
round_shots,300,400,100,200,100
round_queries,300,1200,1300,8200,49700
round_k,1,6,20,61,248
round_shots,500,400,200,100
round_queries,500,1200,2200,20100
round_k,1,5,25,100
round_shots,100,400,300,200,100
round_queries,100,1200,2700,5400,29900
round_k,1,4,13,41,149
round_shots,500,400,200,200,100
