round_queries,100,900,2300,9700,47100,232500,1170900,5949100
round_k,0,1,11,48,235,1162,5854,29745
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12100,56900,288500,1458500,7444300
round_k,0,1,3,12,60,284,1442,7292,37221
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12500,62300,308500,1575300,8048300
round_k,0,1,3,12,62,311,1542,7876,40241
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,12500,60100,294300,1472500,7510100
round_k,0,1,3,13,62,300,1471,7362,37550
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,15700,76700,382900,1926100,9840300
round_k,0,1,3,15,78,383,1914,9630,49201
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,1000,1100,3300,14100,67700,343500,1726100,8724100
round_k,0,2,5,16,70,338,1717,8630,43620
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,12300,61100,309300,1574300,8024100
round_k,0,1,3,12,61,305,1546,7871,40120
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2900,12500,61500,304100,1530500,7735700
round_k,0,1,3,14,62,307,1520,7652,38678
round_shots,200,100,100,100,100,100,100,100,100
round_queries,200,300,700,2700,10700,51900,245500,1240900,6284100
round_k,0,1,3,13,53,259,1227,6204,31420
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3300,15700,75300,382500,1951100,10001500
round_k,0,1,3,16,78,376,1912,9755,50007
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11700,55500,274100,1393500,7105500
round_k,0,1,3,13,58,277,1370,6967,35527
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,11900,56300,279900,1402900,7106900
round_k,0,1,4,14,59,281,1399,7014,35534
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13100,66500,321300,1626300,8250900
round_k,0,1,3,14,65,332,1606,8131,41254
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10100,49100,243700,1214900,6147700
round_k,0,1,3,12,50,245,1218,6074,30738
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,9900,47500,237500,1204700,6171300
round_k,0,1,3,12,49,237,1187,6023,30856
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,3100,15700,78900,396300,2011500,10188500
round_k,0,1,3,15,78,394,1981,10057,50942
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,10700,52500,259500,1328300,6768900
round_k,0,1,3,12,53,262,1297,6641,33844
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12300,60300,306900,1492700,7199300
round_k,0,1,3,12,61,301,1534,7463,35996
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,7500,36300,176900,889500,4755700
round_k,0,1,9,37,181,884,4447,23778
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,13300,60900,301100,1519500,7775300
round_k,0,1,3,15,66,304,1505,7597,38876
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2900,13300,65100,326700,1650700,8395700
round_k,0,1,3,14,66,325,1633,8253,41978
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,12300,59300,295700,1476700,7531500
round_k,0,1,3,12,61,296,1478,7383,37657
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,60500,295500,1491300,7594300
round_k,0,1,3,14,63,302,1477,7456,37971
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,10300,50500,240700,1201300,6128500
round_k,0,1,3,11,51,252,1203,6006,30642
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,12700,63500,318900,1594700,8133500
round_k,0,1,3,15,63,317,1594,7973,40667
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12900,63700,313500,1593500,8144500
round_k,0,1,3,14,64,318,1567,7967,40722
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,15100,76300,387700,1967900,9846300
round_k,0,1,3,15,75,381,1938,9839,49231
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,15700,76700,382500,1931700,9869100
round_k,0,1,3,15,78,383,1912,9658,49345
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,10100,48100,241300,1217100,6177700
round_k,0,2,11,50,240,1206,6085,30888
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12900,61700,300500,1517100,7761500
round_k,0,1,3,14,64,308,1502,7585,38807
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12700,62700,313100,1588300,8083700
round_k,0,1,3,14,63,313,1565,7941,40418
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,14300,68100,346700,1741500,8863300
round_k,0,1,3,15,71,340,1733,8707,44316
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2900,12900,64900,322300,1627700,8256300
round_k,0,1,3,14,64,324,1611,8138,41281
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2300,9700,44100,218500,1096900,5559900
round_k,0,2,11,48,220,1092,5484,27799
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,2100,10300,51500,261300,1320300,6728500
round_k,0,1,10,51,257,1306,6601,33642
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,14100,69500,343100,1741500,8888100
round_k,0,1,3,14,70,347,1715,8707,44440
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,11900,56900,284900,1449500,7341900
round_k,0,1,3,13,59,284,1424,7247,36709
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,700,2300,9900,46500,233300,1179900,6000300
round_k,0,1,3,11,49,232,1166,5899,30001
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2500,10500,52900,267300,1351700,6886100
round_k,0,1,3,12,52,264,1336,6758,34430
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2500,11900,55900,276700,1409300,7186900
round_k,0,1,3,12,59,279,1383,7046,35934
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3300,15300,70900,359300,1816300,9231500
round_k,0,1,3,16,76,354,1796,9081,46157
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,13300,64900,321700,1621100,8246700
round_k,0,1,3,15,66,324,1608,8105,41233
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,2700,13100,61900,311700,1585300,8093100
round_k,0,1,3,13,65,309,1558,7926,40465
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,12900,63900,320300,1605900,8155900
round_k,0,1,3,14,64,319,1601,8029,40779
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11900,55700,283700,1418900,8662100
round_k,0,1,3,13,59,278,1418,7094,43310
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,11700,57300,288300,1447500,8891100
round_k,0,1,3,13,58,286,1441,7237,44455
round_shots,100,200,100,100,100,100,100,100
round_queries,100,600,1900,8700,41100,199500,1003100,5100100
round_k,0,1,9,43,205,997,5015,25500
round_shots,100,200,100,100,100,100,100,100,100
round_queries,100,600,700,3100,13100,64300,321100,1620700,8649100
round_k,0,1,3,15,65,321,1605,8103,43245
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2700,13300,66700,339700,1728500,8836700
round_k,0,1,3,13,66,333,1698,8642,44183
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2900,13300,63300,315900,1591900,8108100
round_k,0,1,3,14,66,316,1579,7959,40540
round_shots,200,200,100,100,100,100,100,100,100
