round_k,1,12,38,145,663,3439
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,8100,31900,758300
round_k,1,11,40,159,708,3791
round_shots,200,200,100,100,100,100
round_queries,200,600,900,3100,10500,204300
round_k,1,4,15,52,220,1021
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,7700,29700,708900
round_k,1,11,38,148,670,3544
round_shots,200,200,100,100,100,100
round_queries,200,600,900,2700,10100,197900
round_k,1,4,13,50,209,989
round_shots,200,300,100,100,100,100,100
round_queries,200,900,900,2900,9900,40300,1004900
round_k,1,4,14,49,201,921,5024
round_shots,200,500,100,100,100,100
round_queries,200,1500,2100,7500,27900,622700
round_k,1,10,37,139,604,3113
round_shots,100,700,100,100,100,100
round_queries,100,2100,2700,8300,33500,819300
round_k,1,13,41,167,763,4096
round_shots,200,300,100,100,100,100
round_queries,200,900,900,3300,10700,208700
round_k,1,4,16,53,220,1043
round_shots,200,500,100,100,100,100
round_queries,200,1500,2300,7500,28300,639300
round_k,1,11,37,141,618,3196
round_shots,200,500,100,100,100,100
round_queries,200,1500,900,3100,10500,200500
round_k,1,4,15,52,217,1002
round_shots,200,500,100,100,100,100
round_queries,200,1500,900,2900,10700,203500
round_k,1,4,14,53,220,1017
round_shots,100,600,100,100,100,100
round_queries,100,1800,2300,7700,29700,692100
round_k,1,11,38,148,660,3460
round_shots,200,600,100,100,100,100
round_queries,200,1800,900,2900,10900,209900
round_k,1,4,14,54,223,1049
round_shots,100,700,100,100,100,100
round_queries,100,2100,2500,7900,30500,736300
round_k,1,12,39,152,693,3681
round_shots,200,600,100,100,100,100,100
round_queries,200,1800,900,3100,9900,40700,1010500
round_k,1,4,15,49,203,924,5052
round_shots,200,700,100,100,100,100
round_queries,200,2100,2700,8300,31900,773300
round_k,1,13,41,159,729,3866
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,8300,30900,744300
round_k,1,11,41,154,708,3721
round_shots,300,600,100,100,100,100
round_queries,300,1800,2300,7300,27900,634700
round_k,1,11,36,139,608,3173
round_shots,200,400,100,100,100,100
round_queries,200,1200,900,2900,10100,189900
round_k,1,4,14,50,205,949
round_shots,200,600,100,100,100,100
round_queries,200,1800,2300,8100,33300,799300
